Airline,Booking_Date,Departure_Date,Days_to_Departure,Source,Destination,Duration,Class,Price
Garuda Indonesia,2024-09-08,2024-09-20,12.0,Medan,Denpasar,4.2,Economy,2110.294827899155
Citilink,2024-07-09,2024-08-28,50.0,Yogyakarta,Surabaya,1.2,Business,1646.3913785563498
Garuda Indonesia,2023-01-22,2023-02-14,23.0,Medan,Surabaya,3.4,Economy,3357.585410590762
Batik Air,2023-02-05,2023-02-12,7.0,Medan,Jakarta,2.3,Economy,6281.302129329679
Sriwijaya Air,2023-05-31,2023-06-25,25.0,Makassar,Yogyakarta,1.9,Business,5405.73528138425
Batik Air,2024-12-19,2025-03-18,89.0,Denpasar,Surabaya,1.2,Economy,610.3535126912279
Garuda Indonesia,2024-12-22,2025-01-27,36.0,Balikpapan,Jakarta,2.1,Business,6309.858020854271
Sriwijaya Air,2023-06-06,2023-06-08,2.0,Surabaya,Medan,3.5,Economy,5192.620475077473
Citilink,2024-06-04,2024-07-14,40.0,Denpasar,Balikpapan,1.4,Business,2702.526659461124
Garuda Indonesia,2024-12-11,2025-03-05,84.0,Balikpapan,Surabaya,1.3,Economy,1310.643569184224
Garuda Indonesia,2024-09-11,2024-10-15,34.0,Makassar,Yogyakarta,1.8,Economy,1894.8023589598395
Garuda Indonesia,2023-01-19,2023-04-18,89.0,Medan,Yogyakarta,3.8,Economy,765.5122273256907
Garuda Indonesia,2023-04-21,2023-07-14,84.0,Balikpapan,Yogyakarta,2.1,Economy,1298.0527516956358
Sriwijaya Air,2023-08-31,2023-10-07,37.0,Yogyakarta,Medan,3.9,Economy,1504.4107638160012
Citilink,2023-07-05,2023-08-01,27.0,Denpasar,Makassar,1.3,Economy,856.6071218530772
Citilink,2024-09-23,2024-11-26,64.0,Jakarta,Surabaya,1.7,Economy,1162.4708344142969
Garuda Indonesia,2023-08-10,2023-10-03,54.0,Makassar,Surabaya,1.4,Business,2765.976164208741
Lion Air,2024-02-06,2024-03-16,39.0,Yogyakarta,Surabaya,1.0,Economy,651.1603487071293
AirAsia,2024-09-26,2024-10-01,5.0,Denpasar,Medan,4.3,Economy,2450.6115790629065
Citilink,2024-08-11,2024-09-18,38.0,Jakarta,Yogyakarta,1.2,Economy,1657.7275625503062
Citilink,2023-07-13,2023-09-02,51.0,Makassar,Jakarta,2.5,Business,8595.437703261447
Lion Air,2024-04-29,2024-07-04,66.0,Makassar,Medan,3.9,Economy,1207.6543320342473
Sriwijaya Air,2023-06-25,2023-07-14,19.0,Denpasar,Jakarta,1.9,Business,2671.212913048694
AirAsia,2023-01-29,2023-03-12,42.0,Jakarta,Balikpapan,2.0,Economy,1891.1278396272792
Batik Air,2023-12-05,2024-02-29,86.0,Balikpapan,Medan,3.6,Economy,1395.345600706563
Lion Air,2024-11-18,2025-01-01,44.0,Jakarta,Makassar,2.6,Economy,1203.175085510307
Sriwijaya Air,2024-12-26,2025-02-15,51.0,Denpasar,Jakarta,1.7,Business,4468.621025155381
Batik Air,2024-11-23,2024-11-26,3.0,Jakarta,Balikpapan,1.9,Business,2802.739077549842
Citilink,2023-11-27,2024-02-16,81.0,Balikpapan,Makassar,1.2,Economy,578.9410436504082
Garuda Indonesia,2023-09-19,2023-10-10,21.0,Denpasar,Medan,4.0,Business,5275.826805008163
Citilink,2024-11-09,2024-12-25,46.0,Balikpapan,Jakarta,1.8,Economy,1960.10436334767
Lion Air,2024-05-28,2024-06-03,6.0,Denpasar,Balikpapan,1.4,Economy,1572.7253598190855
Batik Air,2023-08-10,2023-08-24,14.0,Yogyakarta,Surabaya,0.8,Economy,1443.3186720523345
Citilink,2023-08-20,2023-09-16,27.0,Denpasar,Jakarta,1.8,Economy,889.7707937830031
Lion Air,2023-01-06,2023-02-17,42.0,Makassar,Yogyakarta,2.0,Economy,749.239131579861
Lion Air,2024-07-22,2024-07-29,7.0,Medan,Surabaya,3.6,Economy,935.6183402105503
AirAsia,2023-05-25,2023-08-12,79.0,Denpasar,Yogyakarta,1.3,Economy,862.4857916471674
Citilink,2023-01-18,2023-02-20,33.0,Balikpapan,Denpasar,1.4,Economy,1332.205671051268
Batik Air,2024-01-30,2024-02-27,28.0,Surabaya,Yogyakarta,1.1,Economy,1021.6611067588076
Lion Air,2023-03-19,2023-05-08,50.0,Jakarta,Makassar,2.5,Business,3814.936009843661
AirAsia,2023-12-10,2023-12-23,13.0,Medan,Denpasar,4.4,Business,2093.411557709463
Batik Air,2024-05-19,2024-08-13,86.0,Makassar,Denpasar,1.3,Economy,1003.641743161192
Citilink,2023-02-25,2023-04-08,42.0,Makassar,Balikpapan,1.1,Economy,2008.6790229517892
AirAsia,2023-11-15,2024-01-19,65.0,Balikpapan,Medan,3.5,Economy,1148.4592768898588
AirAsia,2023-10-28,2023-12-21,54.0,Jakarta,Balikpapan,2.0,Economy,2002.5986516675393
AirAsia,2024-10-16,2024-11-22,37.0,Denpasar,Balikpapan,1.4,Economy,645.4407163083596
Garuda Indonesia,2024-10-10,2024-11-05,26.0,Makassar,Balikpapan,1.1,Economy,1957.604011400334
Lion Air,2023-01-19,2023-02-01,13.0,Makassar,Jakarta,2.4,Economy,2316.510086693299
Citilink,2024-03-06,2024-05-16,71.0,Balikpapan,Medan,3.6,Economy,1434.2607842682035
Sriwijaya Air,2023-06-24,2023-08-02,39.0,Makassar,Surabaya,1.5,Economy,1845.9463817641847
Citilink,2023-12-15,2024-02-13,60.0,Yogyakarta,Denpasar,1.2,Economy,930.7967290881237
Sriwijaya Air,2024-09-12,2024-09-17,5.0,Medan,Surabaya,3.6,Economy,738.920047217824
Lion Air,2023-07-30,2023-08-04,5.0,Surabaya,Medan,3.4,Business,5201.290545637636
Sriwijaya Air,2023-02-08,2023-04-07,58.0,Makassar,Balikpapan,1.1,Economy,1430.609515319804
AirAsia,2023-10-03,2023-11-15,43.0,Balikpapan,Surabaya,1.5,Economy,721.5446892624727
Citilink,2023-10-04,2023-11-18,45.0,Yogyakarta,Surabaya,1.0,Economy,1576.767080164263
Lion Air,2024-10-26,2024-12-16,51.0,Yogyakarta,Balikpapan,2.3,Economy,2387.328850262424
Sriwijaya Air,2024-09-18,2024-10-12,24.0,Medan,Denpasar,4.4,Business,5478.711642070151
AirAsia,2024-08-14,2024-09-03,20.0,Denpasar,Medan,4.2,Economy,2333.745341947562
Batik Air,2023-06-02,2023-08-12,71.0,Denpasar,Yogyakarta,1.3,Economy,1629.6321271443016
AirAsia,2024-01-19,2024-03-20,61.0,Medan,Jakarta,2.2,Economy,1365.3120060067172
Batik Air,2023-01-10,2023-04-07,87.0,Balikpapan,Jakarta,2.0,Economy,1122.1082180199323
Sriwijaya Air,2023-08-26,2023-11-14,80.0,Makassar,Yogyakarta,2.0,Business,3634.9043992641564
Batik Air,2023-12-08,2024-03-05,88.0,Makassar,Medan,4.1,Economy,1287.163011664159
AirAsia,2024-06-03,2024-07-23,50.0,Jakarta,Yogyakarta,1.1,Business,3264.6052013926137
Garuda Indonesia,2024-11-01,2024-11-30,29.0,Makassar,Denpasar,1.1,Economy,1671.8960403302756
AirAsia,2023-04-07,2023-06-01,55.0,Denpasar,Medan,4.1,Economy,1374.956496080428
Garuda Indonesia,2023-08-28,2023-09-09,12.0,Medan,Denpasar,4.1,Economy,1501.0303667768417
Batik Air,2023-01-05,2023-04-01,86.0,Balikpapan,Denpasar,1.4,Economy,610.5830358981633
Lion Air,2023-06-06,2023-07-04,28.0,Makassar,Yogyakarta,1.8,Business,2058.373425594393
Citilink,2023-12-07,2023-12-25,18.0,Balikpapan,Medan,3.5,Economy,1708.1570053795613
Citilink,2024-12-27,2025-02-07,42.0,Medan,Jakarta,2.1,Economy,2046.1567868456355
Citilink,2024-03-27,2024-05-22,56.0,Balikpapan,Surabaya,1.4,Economy,810.516760981433
Garuda Indonesia,2024-09-24,2024-09-28,4.0,Makassar,Medan,4.1,Economy,2377.8196286006705
Sriwijaya Air,2024-02-02,2024-02-03,1.0,Surabaya,Makassar,1.5,Economy,1344.6431953473432
Citilink,2023-01-15,2023-03-27,71.0,Surabaya,Balikpapan,1.5,Business,3852.4442632969194
Sriwijaya Air,2024-08-26,2024-08-31,5.0,Surabaya,Jakarta,1.5,Economy,915.221882416326
Batik Air,2023-02-26,2023-02-27,1.0,Balikpapan,Denpasar,1.5,Economy,1514.0803089070537
Citilink,2024-07-27,2024-08-18,22.0,Yogyakarta,Jakarta,1.3,Economy,1114.9700699381376
Sriwijaya Air,2024-03-03,2024-04-27,55.0,Denpasar,Surabaya,0.8,Economy,1240.8252261982273
Citilink,2024-07-21,2024-08-23,33.0,Surabaya,Balikpapan,1.5,Economy,1584.5406181939843
Garuda Indonesia,2023-04-18,2023-07-02,75.0,Surabaya,Medan,3.7,Business,2362.2302542090083
Citilink,2023-06-17,2023-07-13,26.0,Yogyakarta,Medan,3.7,Business,1823.2692831939037
Citilink,2023-03-31,2023-06-07,68.0,Yogyakarta,Balikpapan,2.2,Economy,1125.3663139023138
Sriwijaya Air,2023-11-04,2023-12-21,47.0,Yogyakarta,Makassar,2.0,Economy,979.5201294677976
Garuda Indonesia,2024-10-23,2024-12-04,42.0,Yogyakarta,Jakarta,1.1,Business,3906.256893203017
Sriwijaya Air,2023-11-23,2024-01-01,39.0,Yogyakarta,Balikpapan,2.2,Economy,1109.8071707531801
Lion Air,2023-10-20,2024-01-16,88.0,Balikpapan,Makassar,1.2,Economy,1062.6859996151347
AirAsia,2024-09-30,2024-10-11,11.0,Medan,Yogyakarta,3.9,Economy,1777.8810380506739
Citilink,2023-01-22,2023-03-02,39.0,Yogyakarta,Medan,3.9,Economy,1657.3263739232698
Batik Air,2024-07-28,2024-10-14,78.0,Yogyakarta,Balikpapan,2.2,Economy,958.0917922188444
Lion Air,2024-06-01,2024-06-12,11.0,Balikpapan,Yogyakarta,2.2,Economy,1240.6676710798356
Batik Air,2024-10-29,2025-01-16,79.0,Makassar,Surabaya,1.5,Economy,724.2739614690003
Batik Air,2023-08-02,2023-10-24,83.0,Makassar,Medan,4.2,Economy,1263.3976202176432
Lion Air,2024-02-15,2024-03-01,15.0,Medan,Balikpapan,3.6,Economy,2450.087428353104
Batik Air,2023-04-10,2023-06-21,72.0,Surabaya,Jakarta,1.4,Business,1568.8158855224726
Garuda Indonesia,2024-11-10,2025-01-23,74.0,Balikpapan,Jakarta,2.0,Economy,505.1853402518138
Citilink,2024-01-31,2024-03-24,53.0,Balikpapan,Makassar,1.2,Economy,1856.3601574068089
AirAsia,2024-11-10,2024-11-12,2.0,Yogyakarta,Denpasar,1.1,Economy,1026.1519482534359
AirAsia,2023-12-15,2024-01-03,19.0,Balikpapan,Yogyakarta,2.4,Economy,1484.1902830373058
Garuda Indonesia,2023-06-27,2023-07-31,34.0,Surabaya,Yogyakarta,0.9,Economy,2114.5390915459375
Garuda Indonesia,2023-02-19,2023-03-08,17.0,Surabaya,Balikpapan,1.6,Economy,2094.8555089367583
AirAsia,2023-05-08,2023-06-13,,Yogyakarta,Medan,3.7,Business,2628.6694629823273
AirAsia,2024-11-16,2025-02-08,84.0,Denpasar,Surabaya,1.0,Economy,618.0614825807849
Garuda Indonesia,2023-03-11,2023-05-22,72.0,Denpasar,Jakarta,1.8,Economy,1476.2429028502272
Batik Air,2024-06-28,2024-09-17,81.0,Jakarta,Yogyakarta,1.3,Economy,3579.0504268473014
Citilink,2024-07-27,2024-08-15,19.0,Denpasar,Surabaya,1.0,Economy,2067.8733887251383
AirAsia,2024-05-25,2024-08-02,69.0,Balikpapan,Yogyakarta,2.4,Economy,1746.7423592111031
Sriwijaya Air,2024-04-06,2024-06-23,78.0,Jakarta,Surabaya,1.3,Economy,1525.5863720042746
AirAsia,2024-11-20,2024-12-16,26.0,Makassar,Denpasar,1.3,Economy,830.9164426696477
AirAsia,2024-04-06,2024-04-15,9.0,Jakarta,Surabaya,1.7,Economy,1966.5126096431543
AirAsia,2023-12-25,2024-02-11,48.0,Balikpapan,Yogyakarta,2.1,Economy,1576.2403710171043
AirAsia,2023-09-14,2023-09-25,11.0,Surabaya,Denpasar,0.9,Economy,1820.8570589664591
AirAsia,2024-03-10,2024-05-30,81.0,Surabaya,Denpasar,0.9,Economy,1305.9446658341958
Sriwijaya Air,2024-11-21,2024-12-01,10.0,Balikpapan,Medan,3.7,Economy,957.9000128248204
Citilink,2023-04-27,2023-06-10,44.0,Jakarta,Surabaya,1.3,Business,4886.733451429471
Garuda Indonesia,2023-08-06,2023-10-24,79.0,Jakarta,Yogyakarta,1.1,Economy,1124.005034989615
Citilink,2024-06-21,2024-07-30,39.0,Yogyakarta,Denpasar,1.0,Economy,2146.3423946790085
Batik Air,2023-03-10,2023-05-04,55.0,Surabaya,Denpasar,1.0,Economy,770.0669265621484
Garuda Indonesia,2023-04-06,2023-04-23,17.0,Jakarta,Denpasar,1.7,Economy,2302.0143502312662
Garuda Indonesia,2023-12-16,2024-03-02,77.0,Jakarta,Balikpapan,1.9,Economy,1190.4475623527758
Lion Air,2024-10-27,2025-01-08,73.0,Yogyakarta,Jakarta,1.3,Economy,4275.66879463635
Lion Air,2023-01-06,2023-01-21,15.0,Jakarta,Medan,2.3,Economy,2506.4434553933183
Lion Air,2024-09-19,2024-11-05,47.0,Yogyakarta,Makassar,1.8,Economy,1212.828117523071
Citilink,2023-07-29,2023-08-23,25.0,Medan,Denpasar,4.0,Economy,956.4106557145354
AirAsia,2023-01-23,2023-04-08,75.0,Yogyakarta,Makassar,1.9,Economy,1092.8884179316901
Batik Air,2023-02-28,2023-04-07,38.0,Balikpapan,Jakarta,2.1,Business,2821.364492127413
Citilink,2023-03-25,2023-06-11,78.0,Jakarta,Denpasar,1.7,Economy,733.0060287683189
Batik Air,2024-05-13,2024-08-10,89.0,Balikpapan,Jakarta,2.2,Economy,982.7765484728596
Lion Air,2023-05-06,2023-07-26,81.0,Jakarta,Medan,2.2,Economy,1192.6905855332946
AirAsia,2023-05-20,2023-07-01,42.0,Medan,Yogyakarta,3.9,Economy,1087.7952386105917
Lion Air,2023-02-11,2023-02-19,8.0,Jakarta,Denpasar,1.8,Economy,2524.7346024475955
Lion Air,2023-10-15,2023-10-29,14.0,Balikpapan,Yogyakarta,2.1,Economy,2015.0074043674695
AirAsia,2023-09-01,2023-10-29,,Surabaya,Denpasar,0.8,Business,4096.605715712954
Lion Air,2023-03-08,2023-03-26,18.0,Medan,Balikpapan,3.3,Business,5311.432015489387
Batik Air,2023-09-20,2023-11-01,42.0,Medan,Balikpapan,3.5,Economy,1558.8710542406707
AirAsia,2023-06-03,2023-07-22,49.0,Medan,Jakarta,2.4,Economy,1520.9968767569526
Garuda Indonesia,2023-07-11,2023-08-26,46.0,Makassar,Surabaya,1.6,Economy,775.7126248925067
AirAsia,2024-02-15,2024-04-19,64.0,Makassar,Jakarta,2.5,Economy,990.8261712881084
Batik Air,2023-12-13,2023-12-31,18.0,Denpasar,Surabaya,0.9,Business,3335.85163819968
Garuda Indonesia,2024-05-25,2024-07-20,56.0,Jakarta,Balikpapan,2.1,Economy,784.8949582358089
Citilink,2024-10-04,2024-11-01,28.0,Yogyakarta,Makassar,2.0,Business,2075.0749839998725
Garuda Indonesia,2024-12-07,2024-12-26,19.0,Yogyakarta,Balikpapan,2.3,Economy,1889.9186006245704
AirAsia,2024-07-13,2024-08-21,39.0,Jakarta,Denpasar,1.6,Economy,2007.9206942482422
AirAsia,2024-12-06,2025-02-28,84.0,Medan,Denpasar,4.4,Economy,847.8962719043323
Citilink,2023-02-25,2023-05-18,82.0,Medan,Surabaya,3.6,Economy,1301.0401217861934
Garuda Indonesia,2024-04-12,2024-07-09,88.0,Balikpapan,Yogyakarta,2.2,Economy,570.9961774981285
Garuda Indonesia,2023-04-27,2023-04-29,2.0,Jakarta,Denpasar,1.9,Economy,2560.259155239805
Sriwijaya Air,2024-09-05,2024-09-22,17.0,Balikpapan,Surabaya,1.4,Economy,2316.009439708081
Lion Air,2024-06-06,2024-08-15,70.0,Denpasar,Yogyakarta,1.3,Economy,1254.2857017443625
Garuda Indonesia,2024-03-07,2024-06-01,86.0,Jakarta,Yogyakarta,1.3,Economy,1467.832624455749
Batik Air,2024-07-14,2024-09-23,71.0,Makassar,Yogyakarta,2.0,Economy,1671.3806139807652
Batik Air,2024-06-29,2024-09-08,71.0,Surabaya,Medan,3.3,Business,1640.8045245439064
Garuda Indonesia,2024-08-16,2024-10-20,65.0,Makassar,Denpasar,1.1,Economy,1469.782228620353
Garuda Indonesia,2024-03-06,2024-05-05,60.0,Yogyakarta,Surabaya,0.8,Economy,656.7696430511244
Sriwijaya Air,2024-01-15,2024-01-27,12.0,Yogyakarta,Medan,3.7,Economy,1845.6399039943628
Lion Air,2024-11-14,2025-01-04,51.0,Makassar,Denpasar,1.3,Business,4079.9683996306803
Lion Air,2024-02-13,2024-03-07,,Balikpapan,Surabaya,1.6,Business,2518.261416773143
Citilink,2023-03-19,2023-04-25,37.0,Makassar,Balikpapan,1.0,Business,3037.6475940888313
Batik Air,2023-11-14,2023-12-02,18.0,Balikpapan,Denpasar,1.6,Business,3667.750585791911
AirAsia,2023-09-20,2023-12-01,72.0,Jakarta,Makassar,2.6,Economy,920.2233804288254
Garuda Indonesia,2023-08-01,2023-08-18,17.0,Makassar,Jakarta,2.6,Economy,2092.3906471038763
Garuda Indonesia,2024-03-05,2024-03-25,20.0,Jakarta,Balikpapan,1.8,Economy,1508.0484081117836
AirAsia,2024-01-24,2024-03-28,64.0,Medan,Denpasar,4.0,Economy,1434.4427693476255
AirAsia,2023-09-03,2023-09-04,1.0,Balikpapan,Yogyakarta,2.2,Economy,989.5874684457218
Lion Air,2023-07-31,2023-09-02,33.0,Makassar,Medan,3.8,Economy,1284.8302205889265
Citilink,2024-05-06,2024-07-16,71.0,Balikpapan,Yogyakarta,2.3,Economy,725.5344339586178
Citilink,2024-04-02,2024-06-03,62.0,Surabaya,Jakarta,1.7,Economy,1431.4756787536567
Lion Air,2023-06-08,2023-08-23,76.0,Denpasar,Yogyakarta,1.2,Economy,796.9738788281456
AirAsia,2024-05-15,2024-07-14,60.0,Yogyakarta,Denpasar,1.2,Economy,1701.7256952134949
AirAsia,2023-08-25,2023-11-09,76.0,Denpasar,Jakarta,1.7,Economy,763.2071685742367
Lion Air,2024-03-28,2024-04-16,19.0,Balikpapan,Surabaya,1.4,Economy,6213.299653436005
AirAsia,2023-10-07,2023-12-21,75.0,Jakarta,Denpasar,1.6,Business,2662.0312398914384
Lion Air,2023-06-21,2023-07-01,10.0,Denpasar,Medan,4.2,Business,4493.795658861993
Garuda Indonesia,2024-02-14,2024-04-20,66.0,Balikpapan,Surabaya,1.6,Economy,1323.0863247979123
Garuda Indonesia,2023-02-13,2023-03-27,42.0,Yogyakarta,Surabaya,1.2,Business,4501.596673524738
Garuda Indonesia,2024-04-19,2024-06-20,62.0,Denpasar,Jakarta,1.8,Economy,837.0600028104532
Batik Air,2023-11-21,2023-12-11,20.0,Balikpapan,Medan,3.7,Economy,2331.5680651229723
Sriwijaya Air,2024-02-05,2024-04-15,70.0,Medan,Balikpapan,3.6,Economy,1484.882666536381
Citilink,2023-10-31,2024-01-19,80.0,Balikpapan,Makassar,0.9,Economy,2893.245750534622
Citilink,2024-08-17,2024-09-08,22.0,Makassar,Medan,4.1,Economy,1462.0545949181076
Garuda Indonesia,2024-07-17,2024-08-10,24.0,Jakarta,Denpasar,1.7,Economy,1744.0158849027334
Garuda Indonesia,2023-08-17,2023-10-23,67.0,Medan,Yogyakarta,3.8,Economy,1236.314883649947
Lion Air,2024-11-19,2025-02-16,89.0,Makassar,Jakarta,,Economy,1501.7585241583145
Citilink,2024-05-23,2024-07-16,54.0,Balikpapan,Medan,3.3,Business,1655.685137550922
Lion Air,2024-05-31,2024-08-17,78.0,Denpasar,Jakarta,1.8,Economy,1536.1202957803396
Garuda Indonesia,2023-11-29,2023-12-19,20.0,Medan,Surabaya,3.5,Business,3147.3971122779426
Sriwijaya Air,2024-09-04,2024-11-03,,Surabaya,Medan,3.5,Economy,1627.2980140904417
Lion Air,2024-11-22,2025-01-19,58.0,Balikpapan,Yogyakarta,2.3,Business,3383.31422883708
Batik Air,2023-04-10,2023-06-07,58.0,Denpasar,Makassar,1.3,Business,3194.4036098175256
Citilink,2024-01-27,2024-02-17,21.0,Medan,Jakarta,2.1,Business,7620.8981824517505
Sriwijaya Air,2024-01-20,2024-03-15,55.0,Yogyakarta,Makassar,2.0,Economy,1470.3570557897654
AirAsia,2024-04-29,2024-07-12,74.0,Jakarta,Balikpapan,2.0,Economy,1531.6191563917705
Lion Air,2023-08-15,2023-10-24,70.0,Jakarta,Medan,2.2,Economy,615.2043719156504
Garuda Indonesia,2024-06-05,2024-08-10,66.0,Surabaya,Denpasar,1.1,Economy,1745.0893996136979
Citilink,2024-02-23,2024-05-13,80.0,Surabaya,Makassar,1.5,Economy,1215.769498568722
Sriwijaya Air,2023-12-19,2024-01-18,30.0,Surabaya,Yogyakarta,0.9,Economy,1970.0764634401216
Sriwijaya Air,2024-08-22,2024-09-15,24.0,Denpasar,Yogyakarta,1.1,Economy,1277.3744568813017
Sriwijaya Air,2024-02-21,2024-05-12,81.0,Jakarta,Denpasar,2.0,Business,2168.123863931924
AirAsia,2024-03-18,2024-04-26,39.0,Surabaya,Balikpapan,1.5,Economy,774.2438949678584
Citilink,2023-05-10,2023-07-13,64.0,Yogyakarta,Denpasar,1.2,Business,3945.4129269858267
AirAsia,2024-06-17,2024-08-01,45.0,Yogyakarta,Jakarta,1.1,Economy,1599.5862820700345
AirAsia,2023-02-10,2023-05-02,81.0,Balikpapan,Surabaya,1.6,Economy,1259.9866591569985
Citilink,2023-11-16,2023-11-23,7.0,Surabaya,Makassar,1.5,Economy,2095.5069599919793
Batik Air,2023-02-12,2023-02-14,2.0,Yogyakarta,Denpasar,1.1,Business,11308.315990695946
Garuda Indonesia,2023-07-11,2023-09-19,70.0,Balikpapan,Yogyakarta,2.3,Economy,1345.4060448420162
Citilink,2023-03-06,2023-05-22,77.0,Medan,Yogyakarta,3.9,Economy,678.5525685953633
Batik Air,2024-06-19,2024-07-21,32.0,Surabaya,Yogyakarta,1.1,Economy,2339.2987949015424
Sriwijaya Air,2023-04-04,2023-05-10,36.0,Balikpapan,Jakarta,2.1,Economy,1344.3866440914603
Batik Air,2024-05-18,2024-05-27,,Makassar,Surabaya,1.5,Economy,2160.0016762554183
AirAsia,2024-02-27,2024-05-15,78.0,Balikpapan,Yogyakarta,2.1,Economy,1688.9655153004041
Lion Air,2023-03-16,2023-03-25,9.0,Medan,Surabaya,3.3,Economy,1238.3471304419693
Garuda Indonesia,2023-09-03,2023-11-28,86.0,Surabaya,Medan,3.6,Economy,705.2944411162523
Citilink,2024-04-27,2024-07-11,75.0,Jakarta,Makassar,2.6,Economy,658.7391431068713
Batik Air,2023-08-25,2023-10-23,59.0,Medan,Surabaya,3.5,Economy,706.3714073874166
AirAsia,2023-09-18,2023-11-06,49.0,Yogyakarta,Jakarta,1.0,Economy,725.512493937226
Batik Air,2024-06-23,2024-08-01,39.0,Yogyakarta,Jakarta,1.1,Economy,1093.855129011682
Sriwijaya Air,2024-04-14,2024-05-10,26.0,Balikpapan,Denpasar,1.5,Economy,1760.3371493235884
Lion Air,2024-11-18,2025-02-06,80.0,Yogyakarta,Denpasar,1.0,Economy,561.0563454912605
Sriwijaya Air,2024-10-04,2024-10-12,8.0,Makassar,Yogyakarta,2.1,Economy,2614.1442218790503
Batik Air,2024-08-08,2024-08-12,4.0,Balikpapan,Denpasar,1.4,Business,4872.496288230307
Lion Air,2023-02-15,2023-02-27,12.0,Makassar,Yogyakarta,2.2,Business,5534.85887283034
Sriwijaya Air,2023-10-31,2023-12-04,34.0,Denpasar,Medan,4.1,Business,3901.2742918173485
AirAsia,2024-03-11,2024-04-15,,Yogyakarta,Jakarta,1.3,Economy,1551.688858609096
Garuda Indonesia,2023-07-13,2023-07-29,16.0,Surabaya,Yogyakarta,1.0,Economy,1562.8775268193028
Garuda Indonesia,2024-07-02,2024-08-11,40.0,Medan,Makassar,3.9,Economy,874.7974357308625
Lion Air,2023-08-27,2023-09-19,23.0,Jakarta,Denpasar,1.8,Economy,1408.2694123078304
